,0
0,966
1,968
2,973
3,974
4,977
5,1054
6,1055
7,1161
8,1163
9,1165
10,1166
11,1171
12,1173
13,1174
14,1176
15,1177
16,1178
17,1179
18,1181
19,1182
20,1184
21,1186
22,1187
23,1188
24,1190
25,1192
26,1193
27,1194
28,1195
29,1196
30,1199
31,1200
32,1201
33,1202
34,1205
35,1206
36,1207
37,1208
38,1209
39,1210
40,1211
41,1212
42,1213
43,1218
44,1219
45,1226
46,1227
47,1228
48,1229
49,1233
50,1234
51,1235
52,1236
53,1237
54,1238
55,1240
56,1241
57,1242
58,1245
59,1256
60,1263
61,1264
62,1267
63,1268
64,1269
65,1270
66,1271
67,1278
68,1279
69,1283
70,1292
71,1293
72,1294
73,1295
74,1296
75,1297
76,1488
77,1539
78,1678
79,1679
80,1851
81,2159
82,2325
83,2326
84,2327
85,2352
86,2353
87,2356
88,2360
89,2362
90,2363
91,2364
92,2365
93,2366
94,2367
95,2369
96,2370
97,2371
98,2372
99,2373
100,2377
101,2467
102,2468
103,2512
104,2513
105,2514
106,2529
107,2814
108,2815
109,2949
110,3103
111,3339
112,3628
113,3677
114,3679
115,3713
116,3715
117,3717
118,3745
119,3758
120,3765
121,3768
122,3772
123,3829
124,4029
