,0,lat,long
0,Lagimodiere Blvd & Maginot St,49.8735608,-97.07138289999999
1,Marrington Rd & Blackwood Bay (S),49.7912323,-97.16177669999999
2,Marrington Rd & Alanmore Ct,49.7904788,-97.1618244
3,Bonner Ave & Mitchelson Way,49.9446437,-97.04266810000001
4,Gateway Rd & McLeod Ave,49.929297,-97.07071099999999
5,Salter St & Royal Ave,49.941859,-97.120294
6,Leila Ave & Simkin Dr,49.95556029999999,-97.15443529999999
7,Maryland Bridge NB & Academy Rd,49.874061,-97.185969
8,Nairn Ave & Stadacona St,49.9065431,-97.1127275
9,PTH 100 & Ramp Wilkes to PTH 100 NB,49.89006320000001,-97.0723136
10,Arlington St & Ross Ave,49.9089699,-97.16432499999999
11,Marrington Rd & Blackwood Bay (N),49.7912323,-97.16177669999999
12,Logan Ave & Trinity St,49.91149,-97.16363899999999
13,Dunkirk Dr & Ramp Kingston to Dunkirk SB,49.8451744,-97.1168467
14,Beiko Ave & Chepstow Rd,49.848373,-97.25989770000001
15,Empress St E & Westway,49.894088,-97.19575200000001
16,Lagimodiere Blvd & Springfield Rd,49.9311704,-97.04472469999999
17,Maryland Bridge SB & Maryland St,49.8781978,-97.1613319
18,Fernwood Ave & St Mary's Rd,49.8475359,-97.11256619999999
19,Ness Ave & Rutland St,49.8842789,-97.2207658
20,Oak Point Hwy & Lucas Ave,49.941519,-97.2322219
21,Archibald St & Desalaberry Ave,49.9040884,-97.1055828
22,Lagimodiere Blvd & East Mint Pl,49.85074890000001,-97.04979580000001
23,Portage Ave & Victor St,49.8871507,-97.1634786
24,Portage Ave & Telfer St S,49.88291359999999,-97.1875895
25,Regent Ave W & Plessis Rd,49.8952679,-97.0252996
26,Regent Ave W & Rougeau Ave,49.89629,-97.057919
27,Roblin Blvd & Windmill Way,49.8638105,-97.3167928
28,Lagimodiere Blvd & Ramp Lagimodiere NB to Concordia,49.9183516,-97.04937849999999
29,Oak Point Hwy & Egesz St,49.9337025,-97.2173225
30,Dugald Rd & Terracon Pl,49.885801,-97.059693
31,Gateway Rd & Taunus Dr,49.93659299999999,-97.06147999999999
32,Fermor Ave & Killarney St,49.85110479999999,-97.1155689
33,Empress St & Westway,49.883681,-97.194672
34,Lagimodiere Blvd & Tascona Rd,49.8598177,-97.05435519999999
35,Henderson Hwy & Roberta Ave,49.932287,-97.099474
36,Fernwood Ave & St David Rd,49.8489338,-97.1083554
37,Panet Rd & Talbot Ave,49.900764,-97.0709059
38,PR 425 & Race Track Rd,49.8909137,-97.3283533
39,Saskatchewan Ave & Race Track Rd,49.9027774,-97.26778929999999
40,Grassie Blvd & Skowron Cres,49.9223667,-97.04068699999999
41,Leila Ave & Pipeline Rd,49.9576461,-97.1609371
42,Henderson Hwy & Winterton Ave,49.92102,-97.11031
43,Kildare Ave W & Day St,49.9007266,-97.002534
44,Inkster Blvd & Charles St,49.9276433,-97.1249967
45,Lagimodiere Blvd & Marion St,49.88193099999999,-97.0722756
46,Partridge Ave & Powers St,49.944021,-97.121785
47,Inkster Blvd & Parr St,49.9333003,-97.14260159999999
48,Plessis Rd & Sanford Fleming Rd,49.90567069999999,-97.02530619999999
49,Plessis Rd & Spring Meadow Cres,49.911124,-97.02537029999999
50,Plessis Rd & Victoria Ave W,49.8960313,-97.0254648
51,Nanton Blvd & Girton Blvd,49.869934,-97.2139909
52,PTH 100 & PTH 3,49.7718863,-97.3246822
53,PTH 2 & PTH 3,49.7683986,-97.3279883
54,PTH 190 & Sturgeon Rd,49.9362425,-97.27851079999999
55,Lagimodiere Blvd & McIvor Ave,49.9375484,-97.0386247
56,Inkster Blvd & King Edward St,49.9458944,-97.2067206
57,Portage Ave & Ruby St,49.88488599999999,-97.1726364
58,Jefferson Ave & Salter St,49.9355245,-97.1251789
59,Portage Ave & Race Track Rd,49.89091010000001,-97.3283563
60,St Mary's Rd & Warde Ave,49.8059436,-97.11464339999999
61,Leila Ave & Weinberg Rd,49.9451589,-97.122136
62,PR 241 & Roblin Blvd,49.859474,-97.292661
63,PR 221 & Ramp PR 221 EB to PTH 101 SB,50.0005809,-97.50528709999999
64,Lagimodiere Blvd & Ramp PR 300 to Lagimodiere NB,49.8861849,-97.1451247
65,Springfield Rd & Norris Rd,49.9309448,-97.0434295
66,Logan Ave & King Edward St,49.925326,-97.2069369
67,Main St & Forrest Ave,49.940755,-97.114409
68,Main St & St Anthony Ave,49.934931,-97.119382
69,PTH 3 & PTH 2,49.7683986,-97.3279883
70,Jefferson Ave & McKenzie St,49.93877,-97.13525299999999
71,PTH 6 & PTH 101,49.9884517,-97.31288550000001
72,Lagimodiere Blvd & Warman Rd,49.8908479,-97.07216249999999
73,PTH 7 & Ramp PTH 7 SB to PTH 101 WB,49.9889811,-97.2293246
74,PTH 7 & Ramp PTH 7 NB to PTH 101 EB,49.9889811,-97.2293246
75,Academy Rd & Wellington Cres,49.87711040000001,-97.1629801
76,Harrow St & Dromore Ave,49.873101,-97.16818099999999
77,Harrow St E & Pembina Hwy,49.8561444,-97.15261269999999
78,Jefferson Ave & Tulip Rd,49.94376399999999,-97.1507372
79,Saskatchewan Ave & Hamilton Ave,49.90101869999999,-97.287578
80,PR 221 & Sturgeon Rd,49.9459731,-97.28457929999999
81,Kildare Ave W & Kootenay Cres,49.90085200000001,-97.02407
82,Johnson Ave W & Roch St,49.9120312,-97.1074826
83,Regent Ave W & Starlight Dr,49.8952714,-97.0462314
84,Johnson Ave W & Henderson Hwy,49.9144407,-97.11480449999999
85,Kildare Ave W & Winona St,49.9007528,-97.0080031
86,Saskatchewan Ave & Summit Rd,49.8996072,-97.30577470000001
87,Kildare Ave E & Redonda St,49.900822,-96.9798977
88,Gateway Rd & Springfield Rd,49.935616,-97.062714
89,Gateway Rd & Sun Valley Dr,49.9407222,-97.05528059999999
90,Sun Valley Dr & De Vries Ave,49.9337177,-97.04264200000001
